module,validator_pass_count,advanced_pattern_count,advanced_rate_pct
kofi_profile,40,35,87.5
gumroad_profile,37,30,81.1
gitlab_profile,135,102,75.6
ifttt_profile,30,22,73.3
medium_profile,47,34,72.3
devto_profile,10,7,70.0
strava_profile,99,68,68.7
vimeo_profile,18,12,66.7
buymeacoffee_profile,9,6,66.7
keybase_profile,128,82,64.1
threads_profile,113,68,60.2
snapchat_profile,51,30,58.8
twitch_profile,126,73,57.9
anilist_profile,127,73,57.5
imgur_profile,127,73,57.5
kaggle_profile,127,73,57.5
npm_maintainer,127,73,57.5
pinterest_profile,127,73,57.5
pypi_profile,128,73,57.0
wayback_linkedin_user,123,70,56.9
hackernoon_profile,67,38,56.7
flickr_profile,24,13,54.2
mastodon_search,24,13,54.2
dribbble_profile,12,6,50.0
github_scraper,30,13,43.3
chesscom_profile,37,16,43.2
github_user_api,34,12,35.3
telegram_profile,32,11,34.4
huggingface_profile,21,7,33.3
wayback_facebook,8,2,25.0
bluesky_profile,13,3,23.1
dockerhub_profile,31,6,19.4
stackoverflow_search,33,5,15.2
codeberg_profile,7,1,14.3
wayback_instagram,7,1,14.3
gravatar_scraper,11,1,9.1
duolingo_profile,48,4,8.3
steam_community_profile,19,1,5.3
steam_profile,19,1,5.3
intelligence,1905,82,4.3
mixcloud_profile,25,1,4.0
roblox_profile,200,4,2.0
